"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""SD01""	""SD15_01""	""SD15_01a""	""SD19_01""	""SD20_01""	""ST01""	""ST01_01""	""CO02_01""	""CO02_02""	""CO06_01""	""CO06_02""	""CO06_03""	""CO07_01""	""CO07_02""	""CO07_03""	""CO07_04""	""CO07_05""	""CO05_01""	""CO05_02""	""CO05_03""	""CO05_04""	""CO05_05""	""CO08_01""	""CO08_02""	""CO08_03""	""CO09_01""	""CO09_02""	""CO09_03""	""CO10_01""	""CO17_01""	""CO11_01""	""CO18_01""	""CO12_01""	""CO19_01""	""CO13_01""	""CO20_01""	""CO14_01""	""CO21_01""	""CO15_01""	""CO22_01""	""Z101_CP""	""Z101""	""Z104_CP""	""Z104x01""	""Z104x02""	""Z104x03""	""Z104x04""	""Z104x05""	""Z104x06""	""Z105_CP""	""Z105x01""	""Z105x02""	""Z105x03""	""Z105x04""	""Z105x05""	""Z105x06""	""TIME002""	""TIME003""	""TIME004""	""TIME005""	""TIME006""	""TIME007""	""TIME008""	""TIME009""	""TIME010""	""TIME011""	""TIME012""	""TIME013""	""TIME014""	""TIME015""	""TIME016""	""TIME017""	""TIME018""	""TIME019""	""TIME_SUM""	""MAILSENT""	""LASTDATA""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""TIME_RSI""	""DEG_TIME"""
"377			""base""	""interview""	2022-05-03 21:11:04	1		T	23		1	T	5	3	4	3	5	5	4	6	4	5	6	4	6	7	7	5	7	5	3	6	4	6			5		6	3		3			5	50	1	74	6	2	1	3	4	5	110	1	2	4	6	5	3	8	44	44	41	37	19	14	9	9	11	23	18	28	37	18	8	32	3	403		2022-05-03 21:17:47	T	F	19	19	3	0	1.06	13"
"381			""base""	""interview""	2022-05-03 23:16:02	2	""Softwaretester ""	F	29		1	T	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5		5	5		5			5		5	5		51	2	76	4	2	6	1	5	3	112	6	3	2	4	5	1	42	24	76	25	15	9	13	22	10	36	26	13	16	33	59	28	15	3	465		2022-05-03 23:23:47	T	F	19	19	3	0	0.88	5"
"383			""base""	""interview""	2022-05-03 23:59:15	1	""3D Artist""	F	22		1	T	4	7	4	4	4	4	1	4	4	4	4	1	4	5	5	4	4	1	4	4	2		7	2		3			7		7	3		51	2	78	5	6	1	2	3	4	114	1	4	2	6	3	5	7	15	65	19	65	16	8	18	12	13	24	9	11	17	15	35	16	3	314		2022-05-04 00:05:23	T	F	19	19	3	0	1.19	17"
"384			""base""	""interview""	2022-05-04 00:42:33	2	""Lehrer""	F	59	""Mit doppelten Verneinungen zu arbeiten, ist immer schlecht, weil schwer verständlich bzw. missverständlich. Deshalb sollte auch eine KI so programmiert werden, dass sie ihre Begründungen in positiven (Haupt)Sätzen formuliert."

Mich interessiert das Ergebnis der Studie und ich hätte gern mehr über ihr Design gewusst.
Infos also bitte gern an
xxx




"	1	T	5	6	2	1	2	2	1	2	2	2	3	2	2	3	2	1	3	3	2	2	2		7	1		1			1		1	1		51	2	79	5	6	2	1	4	3	115	1	4	3	6	2	5	22	16	41	15	31	6	10	23	22	10	13	12	16	30	21	31	18	197	341		2022-05-04 00:51:28	T	F	19	19	0	0	1.01	9
396			base""	""interview""	2022-05-04 10:21:00	2		T	33		1	T	5	3	5	3	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	4			6		6	4		4			6	53	1	83	4	6	5	2	1	3	118	1	3	2	4	6	5	14	10	52	18	21	9	12	10	5	7	10	13	21	14	39	39	12	4	310		2022-05-04 10:26:10	T	F	19	19	3	0	1.29	18"
"397			""base""	""interview""	2022-05-04 10:21:52	1	""Studentin und Werkstudentin""	F	20		1	T	5	1	6	1	2	3	5	4	3	3	6	3	5	6	6	3	1	2	5	4	5		7	7		7			7		7	7		54	2	82	5	4	6	2	1	3	119	1	6	2	4	3	5	6	13	16	8	8	6	4	5	8	5	9	11	10	22	21	32	12	2	198		2022-05-04 10:25:10	T	F	19	19	3	0	1.9	46"
"400			""base""	""interview""	2022-05-04 10:25:05	2		T	26		1	T	1	5	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	3	2	2	2	3			4		5	4		3			4	54	1	84	1	5	3	2	4	6	120	3	6	1	2	5	4	3	7	34	20	5	5	18	4	4	6	4	16	11	15	18	14	10	3	197		2022-05-04 10:28:22	T	F	19	19	3	0	1.99	58"
"401			""base""	""interview""	2022-05-04 10:45:17	2	""Wissenschaftlicher Volontär ""	F	35		1	T	6	5	5	5	6	5	4	5	5	6	5	4	5	6	6	6	6	5	5	5	6	6			6		6	6		6			5	55	1	85	1	5	4	3	2	6	121	6	2	3	5	1	4	24	19	51	14	12	12	8	5	7	34	19	34	14	34	39	22	17	2	367		2022-05-04 10:51:24	T	F	19	19	3	0	1.15	14"
"402			""base""	""interview""	2022-05-04 10:48:26	2	""Bankkaufmann""	F	59		1	T	1	3	1	1	1	1	3	1	4	3	1	3	1	3	5	2	1	2	1	1	3		7	7		7			7		7	7		56	2	86	1	6	4	2	3	5	122	6	3	5	4	1	2	20	23	19	15	9	18	13	10	22	31	8	62	20	36	48	41	38	25	392		2022-05-04 10:56:05	T	F	19	19	3	0	0.89	8"
"405			""base""	""interview""	2022-05-04 11:31:07	1	""Bankkauffrau""	F	32		1	T	7	7	6	2	5	4	5	5	7	2	7	2	3	7	7	4	3	2	4	6	2		7	5		3			7		3	5		56	2	87	3	1	6	2	5	4	123	5	6	1	2	4	3	219	32	3	2	7	6	5	5	22	8	2	11	11	34	15	25	14	2	218		2022-05-04 11:38:10	T	F	19	19	3	0	1.73	93"
"407			""base""	""interview""	2022-05-04 12:46:05	1		T	22		1	T	4	2	4	6	6	5	5	7	6	7	5	6	5	7	7	5	6	3	6	6	6	4			7		6	5		3			7	56	1	88	6	5	3	1	2	4	124	3	6	1	2	5	4	45	21	35	11	7	10	13	7	7	17	12	12	11	42	12	17	24	2	305		2022-05-04 12:51:10	T	F	19	19	3	0	1.34	21"
"409			""base""	""interview""	2022-05-04 15:58:23	2	""Informatiker""	F	41		1	T	2	2	5	2	6	5	4	2	2	5	5	5	2	6	6	5	2	4	5	2	5	2			6		6	2		2			6	57	1	89	6	4	5	2	3	1	125	5	2	3	6	4	1	17	22	43	24	5	17	16	7	39	18	19	18	15	21	27	25	33	3	369		2022-05-04 16:04:33	T	F	19	19	3	0	1.03	9"
"412			""base""	""interview""	2022-05-04 18:05:25	2	""Psychologe""	F	30		1	T	6	1	4	1	5	6	6	6	2	6	5	5	5	5	5	5	5	5	5	5	5	3			7		7	2		3			7	58	1	91	3	1	5	6	4	2	127	5	1	2	4	6	3	12	13	42	17	8	12	9	5	21	8	8	15	17	50	19	27	9	3	295		2022-05-04 18:10:20	T	F	19	19	3	0	1.34	19"
"413			""base""	""interview""	2022-05-04 18:06:54	1	""Studentin""	F	21		1	T	7	7	6	7	6	6	3	6	1	5	6	2	6	6	7	5	7	3	7	7	7	6			7		7	7		6			7	59	1	92	2	3	5	1	6	4	128	1	2	4	3	6	5	48	11	57	22	20	12	7	7	9	8	14	12	27	31	18	19	12	3	337		2022-05-04 18:12:31	T	F	19	19	3	0	1.22	16"
"415			""base""	""interview""	2022-05-04 19:39:43	3		T	69		1	T	3	3	2	2	2	2	2	2	2	2	3	3	2	2	3	3	2	1	2	3	2	2			1		2	1		1			1	60	1	93	5	4	3	6	1	2	129	5	6	4	3	2	1	6	16	22	18	3	6	6	11	24	17	3	3	3	5	6	4	4	6	163		2022-05-04 19:42:26	T	F	19	19	3	0	2.09	111"
